Customer_ID,Recency,Frequency,Monetary,Future_Spend,Is_Churn,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,First_Purchase,Last_Purchase,Total_Transactions,Avg_Transaction,Std_Transaction,Category_Diversity,Avg_Quantity,Avg_Discount,Tenure_Days,Avg_Purchase_Freq,Last_Purchase_Month,Tech_Sales,Tech_Customer,Action_Segment
AM-10360,34,4,635.122,178.89000000000001,0,5,2,1,8,Needs Attention,2014-10-06,2017-05-28,7,90.73171428571428,93.77476692891018,3,4.142857142857143,0.15714285714285717,965,137.85714285714286,5,239.97,1,Tech Loyal
AM-10705,6,7,4712.042,951.98,0,5,4,5,14,Champions,2014-10-31,2017-06-25,15,314.13613333333336,469.8923416464466,3,3.466666666666667,0.09333333333333332,968,64.53333333333333,6,383.84,1,VIP Recent
AO-10810,319,1,161.28,0.0,1,1,1,1,3,Hibernating,2016-08-16,2016-08-16,1,161.28,,1,2.0,0.2,0,0.0,8,0.0,0,Standard
AP-10720,207,7,1500.172,138.382,0,2,4,3,9,At Risk,2014-03-03,2016-12-06,17,88.24541176470588,124.37447832406113,3,4.411764705882353,0.14705882352941177,1009,59.35294117647059,12,558.702,1,Tech Loyal
AP-10915,65,8,3070.536,253.02,0,4,5,4,13,Champions,2014-08-23,2017-04-27,28,109.662,196.41202213035064,3,3.357142857142857,0.0642857142857143,978,34.92857142857143,4,874.71,1,Tech Loyal
AR-10345,660,2,955.6139999999999,100.08,0,1,1,2,4,Hibernating,2014-12-30,2015-09-10,3,318.53799999999995,181.347988210512,2,3.3333333333333335,0.3666666666666667,254,84.66666666666667,9,251.964,1,Standard
AR-10405,12,4,747.704,1488.424,0,5,2,2,9,Needs Attention,2014-10-03,2017-06-19,6,124.61733333333332,65.92190398544831,3,3.6666666666666665,0.06666666666666667,990,165.0,6,342.82,1,Tech Loyal
AR-10510,187,4,254.064,10.8,0,3,2,1,6,Needs Attention,2014-05-02,2016-12-26,6,42.344,31.385980539087832,2,4.666666666666667,0.25,969,161.5,12,145.15800000000002,1,Tech Loyal
AR-10540,166,5,6590.568,17.88,0,3,3,5,11,Regular Customers,2014-11-25,2017-01-16,8,823.821,1879.1380157818564,3,3.75,0.05,783,97.875,1,639.968,1,Tech Loyal
AR-10570,352,1,88.15,0.0,1,1,1,1,3,Hibernating,2016-07-14,2016-07-14,2,44.075,10.854089091213503,2,3.0,0.0,0,0.0,7,0.0,0,Standard
AR-10825,202,5,2147.9880000000003,2375.348,0,2,3,3,8,At Risk,2014-06-30,2016-12-11,7,306.8554285714286,386.95015630218546,3,4.714285714285714,0.07142857142857142,895,127.85714285714286,12,618.376,1,Tech Loyal
AS-10045,180,4,1315.06,1735.632,0,3,2,2,7,Needs Attention,2014-07-27,2017-01-02,6,219.17666666666665,293.36788767870735,3,4.666666666666667,0.3416666666666666,890,148.33333333333334,1,695.7,1,Tech Loyal
AS-10090,91,7,2536.55,718.76,0,4,4,4,12,Champions,2014-09-22,2017-04-01,19,133.5026315789474,261.29934457038405,2,3.473684210526316,0.13157894736842105,922,48.526315789473685,4,0.0,0,Standard
AS-10135,230,1,4.18,54.64,0,2,1,1,4,Hibernating,2016-11-13,2016-11-13,1,4.18,,1,1.0,0.0,0,0.0,11,0.0,0,Standard
AS-10225,211,3,2409.2,1851.584,0,2,1,4,7,Regular Customers,2014-10-18,2016-12-02,5,481.84,544.8216657310904,3,3.8,0.04,776,155.2,12,1560.55,1,Tech Loyal
AS-10240,10,7,584.6080000000001,0.0,1,5,4,1,10,Potential Loyalists,2014-03-15,2017-06-21,13,44.969846153846156,44.62007567199275,2,3.0,0.2692307692307692,1194,91.84615384615384,6,0.0,0,Standard
AS-10285,232,5,3097.924,116.312,0,2,3,4,9,At Risk,2016-05-21,2016-11-11,7,442.56057142857145,988.4509897637578,3,4.571428571428571,0.2285714285714286,174,24.857142857142858,11,23.988,1,Tech Loyal
AS-10630,62,6,460.95200000000006,372.44599999999997,0,4,4,1,9,Potential Loyalists,2014-08-01,2017-04-30,9,51.216888888888896,91.11102944820189,2,2.7777777777777777,0.15555555555555556,1003,111.44444444444444,4,0.0,0,Standard
AT-10435,90,5,75.32600000000001,1096.4879999999998,0,4,3,1,8,Potential Loyalists,2014-11-24,2017-04-02,6,12.554333333333334,10.759609540623057,3,2.6666666666666665,0.26666666666666666,860,143.33333333333334,4,33.52,1,Tech Loyal
AT-10735,43,7,3414.044,417.82,0,5,4,5,14,Champions,2014-08-30,2017-05-19,11,310.36763636363634,770.3043671016377,2,4.363636363636363,0.09090909090909091,993,90.27272727272727,5,303.92,1,VIP Recent
AW-10840,580,2,43.144000000000005,606.232,0,1,1,1,3,Hibernating,2015-04-13,2015-11-29,3,14.381333333333336,6.47978435855186,2,2.6666666666666665,0.3333333333333333,230,76.66666666666667,11,21.48,1,Standard
AW-10930,225,5,2141.608,711.36,0,2,3,3,8,At Risk,2014-07-14,2016-11-18,13,164.73907692307694,312.5218879679901,3,4.538461538461538,0.34615384615384615,858,66.0,11,378.23199999999997,1,Tech Loyal
AY-10555,195,3,274.98199999999997,222.03199999999998,0,3,1,1,5,Needs Attention,2014-04-06,2016-12-18,6,45.83033333333333,31.484541639774058,3,3.8333333333333335,0.06666666666666667,987,164.5,12,66.976,1,Tech Loyal
AZ-10750,512,5,1500.482,121.536,0,1,3,3,7,At Risk,2014-03-17,2016-02-05,11,136.40745454545456,177.5231999015135,3,3.272727272727273,0.11818181818181818,690,62.72727272727273,2,248.74399999999997,1,Tech Loyal
BB-10990,30,4,729.54,14.8,0,5,2,2,9,Needs Attention,2014-07-27,2017-06-01,6,121.58999999999999,147.99978144308187,2,3.8333333333333335,0.26666666666666666,1040,173.33333333333334,6,344.704,1,Tech Loyal
BB-11545,187,5,2179.468,4586.26,0,3,3,4,10,Regular Customers,2015-06-05,2016-12-26,12,181.62233333333333,441.996093133563,3,3.5,0.25833333333333336,570,47.5,12,255.96800000000002,1,Tech Loyal
BC-11125,20,9,2933.676,0.0,1,5,5,4,14,Champions,2014-07-06,2017-06-11,18,162.982,189.62036181554663,3,3.3333333333333335,0.1111111111111111,1071,59.5,6,446.274,1,Tech Loyal
BD-11320,21,10,5290.233,428.28799999999995,0,5,5,5,15,Champions,2015-05-31,2017-06-10,16,330.6395625,660.7112669609894,3,3.8125,0.08125,741,46.3125,6,532.6,1,VIP Recent
BD-11500,156,5,4041.264,369.97900000000004,0,3,3,5,11,Regular Customers,2014-02-01,2017-01-26,8,505.158,997.7420107897918,3,5.625,0.15,1090,136.25,1,3408.83,1,Tech Loyal
BD-11560,96,2,320.54,0.0,1,4,1,1,6,Needs Attention,2015-05-30,2017-03-27,4,80.135,63.104982106539474,2,2.75,0.0,667,166.75,3,151.96,1,Standard
BD-11605,183,6,3034.647,253.82399999999998,0,3,4,4,11,Regular Customers,2014-01-13,2016-12-30,18,168.5915,306.18718254462846,3,3.7777777777777777,0.058333333333333334,1082,60.111111111111114,12,53.7,1,Tech Loyal
BD-11620,182,5,956.04,582.0699999999999,0,3,3,2,8,Regular Customers,2014-06-30,2016-12-31,6,159.34,131.55985320757998,3,3.6666666666666665,0.23333333333333336,915,152.5,12,410.952,1,Tech Loyal
BD-11635,574,2,511.646,71.0,0,1,1,1,3,Hibernating,2014-10-05,2015-12-05,4,127.9115,90.62068709185557,2,3.75,0.125,426,106.5,12,0.0,0,Standard
BD-11725,32,4,1341.55,184.95,0,5,2,3,10,Regular Customers,2015-07-03,2017-05-30,7,191.65,242.01463578332059,2,2.5714285714285716,0.028571428571428574,697,99.57142857142857,5,0.0,0,Standard
BD-11770,145,6,658.466,0.0,1,3,4,1,8,Regular Customers,2016-03-10,2017-02-06,10,65.8466,68.95386488595915,3,2.1,0.12000000000000002,333,33.3,2,99.96199999999999,1,Tech Loyal
BE-11335,100,3,314.756,3889.92,0,4,1,1,6,Needs Attention,2016-01-15,2017-03-23,3,104.91866666666665,97.49728778449857,2,3.6666666666666665,0.06666666666666667,433,144.33333333333334,3,0.0,0,Standard
BE-11410,161,4,2009.7980000000002,251.64,0,3,2,3,8,Regular Customers,2016-02-07,2017-01-21,4,502.44950000000006,772.1491713347882,2,4.0,0.15000000000000002,349,87.25,1,1649.75,1,Tech Loyal
BE-11455,72,6,1727.652,0.0,1,4,4,3,11,Loyal Customers,2015-08-02,2017-04-20,13,132.8963076923077,222.72090524667288,3,3.076923076923077,0.14615384615384613,627,48.23076923076923,4,451.212,1,Tech Loyal
BF-10975,223,6,579.134,20.664,0,2,4,1,7,Regular Customers,2014-07-14,2016-11-20,12,48.26116666666667,87.39052170555854,2,2.5833333333333335,0.14166666666666666,860,71.66666666666667,11,0.0,0,Standard
BF-11005,338,3,594.144,739.736,0,1,1,1,3,Hibernating,2014-09-25,2016-07-28,5,118.8288,143.60969174536936,3,3.2,0.32,672,134.4,7,246.168,1,Tech Loyal
BF-11020,91,5,2149.124,739.3820000000001,0,4,3,3,10,Loyal Customers,2014-02-15,2017-04-01,13,165.31723076923075,283.6118388285163,3,3.6923076923076925,0.22307692307692306,1141,87.76923076923077,4,1393.3519999999999,1,Tech Loyal
BF-11080,946,1,14.67,258.28,0,1,1,1,3,Hibernating,2014-11-28,2014-11-28,1,14.67,,1,3.0,0.0,0,0.0,11,0.0,0,Standard
BF-11170,117,10,4064.57,1843.402,0,3,5,5,13,Regular Customers,2014-04-13,2017-03-06,22,184.75318181818182,304.6110000594257,3,4.0,0.13636363636363635,1058,48.09090909090909,3,1737.938,1,Tech Loyal
BF-11215,110,3,1529.546,55.616,0,3,1,3,7,Regular Customers,2014-11-09,2017-03-13,7,218.50657142857145,226.7668013230458,3,6.571428571428571,0.028571428571428574,855,122.14285714285714,3,355.686,1,Tech Loyal
BF-11275,1197,1,388.70399999999995,403.28599999999994,0,1,1,1,3,Hibernating,2014-03-22,2014-03-22,2,194.35199999999998,169.70562748477138,2,3.0,0.2,0,0.0,3,0.0,0,Standard
BG-11035,226,5,2100.712,698.236,0,2,3,3,8,At Risk,2014-11-05,2016-11-17,9,233.41244444444445,436.5962417128414,3,3.3333333333333335,0.23333333333333334,743,82.55555555555556,11,67.176,1,Tech Loyal
BG-11695,186,4,1811.554,62.617999999999995,0,3,2,3,8,Regular Customers,2014-05-11,2016-12-27,6,301.9256666666667,419.2341241500585,3,3.3333333333333335,0.15,961,160.16666666666666,12,839.988,1,Tech Loyal
BG-11740,75,5,519.9879999999999,486.368,0,4,3,1,8,Potential Loyalists,2014-03-23,2017-04-17,6,86.66466666666666,125.91662054973786,3,3.0,0.13333333333333333,1121,186.83333333333334,4,339.96,1,Tech Loyal
BH-11710,44,7,5882.711,372.64,0,4,4,5,13,Champions,2014-06-09,2017-05-18,22,267.3959545454546,442.92871637452936,3,4.045454545454546,0.2,1074,48.81818181818182,5,2479.543,1,VIP Recent
BK-11260,232,4,590.818,68.32,0,2,2,1,5,Hibernating,2014-08-03,2016-11-11,14,42.20128571428571,55.38801214151859,3,3.7142857142857144,0.23571428571428574,831,59.357142857142854,11,35.04,1,Tech Loyal
BM-11140,125,4,11789.63,0.0,1,3,2,5,10,Regular Customers,2014-09-08,2017-02-26,16,736.851875,2021.9648658150936,3,4.0,0.16875,902,56.375,2,8382.078,1,Tech Loyal
BM-11575,44,5,792.652,15.51,0,4,3,2,9,Potential Loyalists,2015-09-15,2017-05-18,9,88.07244444444444,88.2666927769347,3,2.3333333333333335,0.2,611,67.88888888888889,5,259.86,1,Tech Loyal
BM-11650,49,8,4087.911,3206.274,0,4,5,5,14,Champions,2014-07-09,2017-05-13,22,185.81413636363638,259.55609224492633,3,3.0454545454545454,0.07954545454545454,1039,47.22727272727273,5,1347.064,1,VIP Recent
BM-11785,36,10,1338.842,0.0,1,5,5,2,12,Potential Loyalists,2014-06-06,2017-05-26,14,95.63157142857143,156.24109945884885,3,3.142857142857143,0.25,1085,77.5,5,990.952,1,Tech Loyal
BN-11470,109,3,254.61599999999999,10.68,0,3,1,1,5,Needs Attention,2014-09-12,2017-03-14,5,50.923199999999994,66.76198285851012,2,2.8,0.2,914,182.8,3,64.832,1,Tech Loyal
BN-11515,408,3,1331.934,127.41000000000001,0,1,1,2,4,Hibernating,2014-03-17,2016-05-19,14,95.13814285714285,119.05740711868444,2,4.928571428571429,0.028571428571428574,794,56.714285714285715,5,0.0,0,Standard
BO-11350,59,4,2632.328,50.4,0,4,2,4,10,Regular Customers,2016-01-03,2017-05-03,11,239.30254545454545,464.4810892874679,3,3.1818181818181817,0.2545454545454545,486,44.18181818181818,5,239.984,1,Tech Loyal
BO-11425,660,1,6.08,124.75,0,1,1,1,3,Hibernating,2015-09-10,2015-09-10,1,6.08,,1,2.0,0.0,0,0.0,9,0.0,0,Standard
BP-11050,105,4,940.66,42.76,0,3,2,2,7,Needs Attention,2014-10-12,2017-03-18,6,156.77666666666667,233.82140823001356,2,4.833333333333333,0.16666666666666666,888,148.0,3,319.92,1,Tech Loyal
BP-11095,77,9,1228.262,1213.7820000000002,0,4,5,2,11,Potential Loyalists,2014-06-07,2017-04-15,16,76.766375,144.9799295722802,2,3.6875,0.18125000000000002,1043,65.1875,4,794.968,1,Tech Loyal
BP-11155,93,4,1629.901,67.96,0,4,2,3,9,Regular Customers,2015-06-04,2017-03-30,9,181.10011111111112,315.31254686835905,3,2.7777777777777777,0.09999999999999999,665,73.88888888888889,3,1109.95,1,Tech Loyal
BP-11185,190,5,1964.457,1711.404,0,3,3,3,9,Regular Customers,2015-03-24,2016-12-23,10,196.44570000000002,347.0634970318992,3,2.7,0.27,640,64.0,12,1099.96,1,Tech Loyal
BP-11230,198,4,1110.51,70.98,0,3,2,2,7,Needs Attention,2014-04-20,2016-12-15,5,222.102,448.2499547350786,3,2.6,0.08,970,194.0,12,1022.97,1,Tech Loyal
BP-11290,173,5,1806.457,668.7,0,3,3,3,9,Regular Customers,2014-10-03,2017-01-09,10,180.6457,209.17206360052,2,3.4,0.31,829,82.9,1,0.0,0,Standard
BS-11365,376,5,10501.653,0.0,1,1,3,5,9,At Risk,2014-05-04,2016-06-20,9,1166.8503333333333,2988.9039319311523,3,4.333333333333333,0.011111111111111112,778,86.44444444444444,6,9106.83,1,At-Risk High-Value
BS-11380,111,3,845.9159999999999,3041.9179999999997,0,3,1,2,6,Needs Attention,2014-11-29,2017-03-12,3,281.972,290.8350619578045,1,3.6666666666666665,0.13333333333333333,834,278.0,3,0.0,0,Standard
BS-11590,287,5,1752.9679999999998,701.96,0,2,3,3,8,At Risk,2014-01-14,2016-09-17,9,194.7742222222222,361.48028083900294,3,4.333333333333333,0.3333333333333333,977,108.55555555555556,9,505.948,1,Tech Loyal
BS-11665,400,3,3288.1099999999997,0.0,1,1,1,4,6,Regular Customers,2014-06-23,2016-05-27,11,298.91909090909087,404.7572403516593,3,4.2727272727272725,0.18181818181818182,704,64.0,5,502.34400000000005,1,Tech Loyal
BS-11755,82,5,2287.538,274.84400000000005,0,4,3,4,11,Loyal Customers,2014-05-18,2017-04-10,10,228.7538,255.35954861671678,3,3.0,0.165,1058,105.8,4,779.796,1,Tech Loyal
BS-11800,83,2,949.4300000000001,0.0,1,4,1,2,7,Needs Attention,2015-09-26,2017-04-09,8,118.67875000000001,167.79563909176628,1,2.75,0.0,561,70.125,4,0.0,0,Standard
BT-11305,154,5,2567.656,0.0,1,3,3,4,10,Regular Customers,2014-04-25,2017-01-28,9,285.2951111111111,466.41269617165347,3,3.6666666666666665,0.044444444444444446,1009,112.11111111111111,1,239.97,1,Tech Loyal
BT-11395,120,6,2186.6130000000003,0.0,1,3,4,4,11,Regular Customers,2014-10-28,2017-03-03,10,218.66130000000004,341.2740415176474,3,3.8,0.15,857,85.7,3,516.556,1,Tech Loyal
BT-11440,378,4,603.876,0.0,1,1,2,1,4,Hibernating,2014-06-04,2016-06-18,7,86.268,121.06905638794196,2,2.2857142857142856,0.15714285714285717,745,106.42857142857143,6,0.0,0,Standard
BT-11485,477,2,415.19599999999997,0.0,1,1,1,1,3,Hibernating,2015-12-27,2016-03-11,3,138.39866666666666,188.41500960733816,2,3.6666666666666665,0.06666666666666667,75,25.0,3,0.0,0,Standard
BT-11530,125,4,2524.5119999999997,159.98,0,3,2,4,9,Regular Customers,2014-05-21,2017-02-26,9,280.5013333333333,353.4940884597648,3,4.666666666666667,0.1111111111111111,1012,112.44444444444444,2,1055.088,1,Tech Loyal
BT-11680,436,5,3095.3920000000003,101.35999999999999,0,1,3,4,8,At Risk,2014-11-28,2016-04-21,17,182.0818823529412,263.2673694226751,3,4.588235294117647,0.047058823529411764,510,30.0,4,1463.8200000000002,1,Tech Loyal
BV-11245,152,5,1523.2730000000001,0.0,1,3,3,3,9,Regular Customers,2015-03-26,2017-01-30,14,108.8052142857143,174.59664873785238,3,3.5,0.09285714285714285,676,48.285714285714285,1,246.98,1,Tech Loyal
BW-11065,30,3,385.516,0.0,1,5,1,1,7,Needs Attention,2014-05-25,2017-06-01,3,128.50533333333334,170.67740763596493,2,2.6666666666666665,0.13333333333333333,1103,367.6666666666667,6,0.0,0,Standard
BW-11110,35,7,4031.06,719.298,0,5,4,5,14,Champions,2015-03-20,2017-05-27,15,268.7373333333333,775.4208673774398,3,4.333333333333333,0.14666666666666667,799,53.266666666666666,5,3399.15,1,VIP Recent
BW-11200,21,6,1738.406,0.0,1,5,4,3,12,Loyal Customers,2014-08-12,2017-06-10,10,173.8406,263.8075098990845,3,4.9,0.15,1033,103.3,6,806.336,1,Tech Loyal
CA-11965,156,5,3765.2748,24.448,0,3,3,5,11,Regular Customers,2014-01-26,2017-01-26,9,418.3638666666667,661.0141021189789,3,2.7777777777777777,0.10222222222222223,1096,121.77777777777777,1,2439.952,1,Tech Loyal
CA-12055,219,5,1679.7240000000002,0.0,1,2,3,3,8,At Risk,2015-09-05,2016-11-24,10,167.97240000000002,191.66200651215846,3,4.9,0.3,446,44.6,11,398.65600000000006,1,Tech Loyal
CA-12265,510,4,1121.63,1526.6572,0,1,2,2,5,Hibernating,2014-03-25,2016-02-07,8,140.20375,313.727071418887,3,3.875,0.1,684,85.5,2,145.48,1,Tech Loyal
CA-12310,545,2,831.87,590.084,0,1,1,2,4,Hibernating,2014-07-19,2016-01-03,7,118.83857142857143,127.29967929110838,3,2.2857142857142856,0.1285714285714286,533,76.14285714285714,1,736.62,1,Promotion Responsive
CA-12775,50,6,2543.306,498.26,0,4,4,4,12,Champions,2014-06-28,2017-05-12,16,158.956625,308.976302135482,3,4.0625,0.2,1049,65.5625,5,388.62,1,Tech Loyal
CB-12025,146,6,5279.671,796.4680000000001,0,3,4,5,12,Regular Customers,2014-03-21,2017-02-05,19,277.8774210526316,367.8721891652824,3,4.684210526315789,0.19210526315789475,1052,55.36842105263158,2,43.176,1,Tech Loyal
